Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=5c456de872b81d82,"Software Engineering Intern, 2022",,,"programming languages including: Java, C/C++, C#, Objective-C, Python, JavaScript, Go, etc. Ability to complete a 10-12 week..."
https://kr.indeed.com/viewjob?jk=67c19d7ac0857ecd,빅데이터 분야,,,"데이터 분석 모형 개발 ① R, Python, SQL 등 데이터 분석 도구... 분석 관련 자격 보유(빅데이터분석기사, ADsP, ADP 등) - R/ Python/SQL 등을 사용하여 데이터를 핸들링하고 대규모 데이터 셋에서 분석..."
https://kr.indeed.com/viewjob?jk=ddb4285e5876ab62,국제경제/원자재 시장분석 애널리스트,,,"신소재/재료공학, 화공학 전공자프로그래밍 언어, 통계, 분석 프로그램 활용 가능자데이터 이해/가공 위해 Python 등 다양한 S/W 활용 가능자 0 명 근무조건 고용형태: 정규직(수습기간3개월)근무부서: 물가분석팀급여조건..."
https://kr.indeed.com/viewjob?jk=6dd48f3771d01215,"Student Researcher Intern, 2022",,,"programming languages, including: C/C++, Java, MATLAB, Go, Python, or similar. Ability to speak and write in English fluently..."
https://kr.indeed.com/viewjob?jk=21539e28c5f2b445,2022년도 상반기 직원,,,로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>ASP.NET|인터넷·IT·통신·모바일·게임>웹프로그래머...
https://kr.indeed.com/viewjob?jk=d1cb47b2f815b5d7,[KSTEC] 통계/Analytics 신입 및 경력사원,,,"지능화 (의사결정 자동화) 시스템 개발 (SPSS, SAS, R, Python, Java 기반)2. 기업용 데이터과학 & 인공지능 플랫폼 솔루션3... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=c2d2972896b3c314,IT Leadership Academy : '22년 상반기 신입,,,"- 다양한 산업분야(제조/물류/서비스/공공/금융 등)의 빅데이터 분석 업무 수행 - 통계, Data Mining, Machine Learning/Deep Learning 기반 프로젝트 수행 - 빅데이터 분석 플랫폼 개발/운영..."
https://kr.indeed.com/viewjob?jk=0676d11468b8efeb,2022년 충남대학교 소프트웨어연구소 AI 인공지능 교육생,,,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
https://kr.indeed.com/viewjob?jk=86ac343b66b185b8,[신규연구과제/취업지원/무료교육] 2022년 바이오 의약 R&D 분석연구 전문교육 훈련생,,,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>증강현실(AR)|인터넷...
https://kr.indeed.com/viewjob?jk=b0e162f2a055cf89,Game Data Analyst (FPS),,,인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI...
https://kr.indeed.com/viewjob?jk=556725095040cbba,웹개발 신입 정규직,,"연봉 30,000,000원 - 35,000,000원","(주)플레이쓰리에스 모집부문 및 자격요건 담당업무 자격요건 인원 web platform 개발 및 운영 - python - mysql , api 등 [자격요건]학력사항: 학력무관 1 명 근무조건 급여조건: 협의주 5일 , 09..."
https://kr.indeed.com/viewjob?jk=84329a66291839cd,각 부문별,,,통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임... W 엔지니어|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|유통·물류·운송·운전>유통·상품기획·MD>상품MD|유통·물류·운송...
https://kr.indeed.com/viewjob?jk=35f0a25dee5f3312,딥러닝 알고리즘 및 응용 Engineer,,"연봉 40,000,000원 - 100,000,000원",모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
